"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","ARSTOTZKA'YA GIRIŞ<br> IZNI OLMALIDIR"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","PASAPORT <span>B.Y.</span> ALANI GEÇERLI OLMALIDIR"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","BELGEDE MÜHÜR<br>OLMALIDIR"
"RulesInnerHome","Arstotzkan","Arstotzka"
"RulesInnerHome","Ministry<span>of</span>Admission","Dışişleri<span> </span>Bakanlığı"
"RulesInnerHome","RULES","KURALLAR"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","TÜZÜK"
"RulesInnerHome","for Inspectors","Memurlar Için"
"RulesInnerHome","CONTENTS","İÇİNDEKİLER"
"RulesInnerHome","PROPERTY OF","DIŞİŞLERİ BAK."
"RulesInnerHome","M.O.A","Malıdır"
"RulesInnerBasic","RULES","KURALLAR"
"RulesInnerRegion","DIPLOMATIC SEALS","DIPLOMATIK MÜHÜRLER"
"RulesInnerRegion","PASSPORT","PASAPORT"
"RulesInnerRegion","ISSUING CITIES","BAĞLI ŞEHIRLER"
"RulesInnerRegionArstotzka","DISTRICTS","BÖLGELER"
"RulesInnerRegionArstotzka","PASSPORT","PASAPORT"
"RulesInnerRegionArstotzka","ISSUING CITIES","BAĞLI ŞEHIRLER"
"RulesInnerBooth","INSPECTOR'S BOOTH","MEMUR KABİNİ"
"RulesInnerBooth","Shutter","Kepenk"
"RulesInnerBooth","Counter","Banko"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Kural Kitabı<br>KonuşmaGeçmişi<br>Bülten<br>Saat &amp; Tarih"
"RulesInnerBooth","UPGRADES","GELİŞTİRMELER"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","HERHANGI BIR<br>GELIŞTIRME YAPILMADI"
"RulesInnerBooth2","INSPECTOR'S BOOTH","MEMUR KABİNİ"
"RulesInnerBooth2","Shutter","Kepenk"
"RulesInnerBooth2","Counter","Banko"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Konuşma Geçmişi<br>Kural Kitabı<br>Kilo"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Bülten<br>Saat &amp; Tarih"
"RulesInnerBooth2","UPGRADES","GELİŞTİRMELER"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","HERHANGI BIR<br>GELIŞTIRME YAPILMADI"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","KABUL EDILMIŞ RESMI"
"RulesInnerDocs","DOCUMENTS","DÖKÜMANLAR"
"RulesInnerDocs","CONTENTS","İÇİNDEKİLER"
"RulesInnerEntryPermit","ENTRY PERMIT","Giriş İzni"
"RulesInnerEntryPermit","VALID SEALS","GEÇERLI MÜHÜRLER"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKA<br>KİMLİK KARTI"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","TÜM ARSTOTZKA VATANDAŞLARINA VERILIR"
"RulesInnerIdCard","DISTRICTS","BÖLGELER"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","EK KİMLİK<br>BİLGİLERİ"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","TÜM NITELIKLI YABANCILARA VERILIR"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","YABANCILARIN FIZIKSEL GÖRÜNÜŞLERI HAKKINDA BILGI"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","YALNIZCA KAYIT OLMASI DURUMUNDA PARMAK IZI DOĞRULAMASI YAPIN"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","KISA SÜRELI BIR BELGEDIR- GEÇERLILIK TARIHINI KONTROL EDIN"
"RulesInnerAccessPermit","ACCESS PERMIT","ERİŞİM İZNİ"
"RulesInnerAccessPermit","VALID SEALS","GEÇERLI MÜHÜRLER"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","BU BELGE GIRIŞ IZNI VE EK KIMLIK BILGISI YERINE KULLANILMAKTADIR"
"RulesInnerWorkPermit","WORK PASS","ÇALIŞMA VIZESI"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","TÜM NITELIKLI YABANCI IŞÇILERE VERILIR"
"RulesInnerWorkPermit","VALID SEALS","GEÇERLI MÜHÜRLER"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DİPLOMATİK"
"RulesInnerDiplomaticAuth","AUTHORIZATION","RUHSAT"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","MÜHRÜ BAĞLI ÜLKENIN SAYFASINDAN KONTROL EDIN"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","ILTICA<br>TALEBI"
"RulesInnerAsylumGrant","VALID SEALS","GEÇERLI MÜHÜRLER"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","HER ZAMAN PARMAKIZI DOĞRULAMASI YAPIN"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","AŞI KARTI"
"RulesInnerVaccineCert","MINISTRY","SAĞLIK"
"RulesInnerVaccineCert","OF","-"
"RulesInnerVaccineCert","HEALTH","BAKANLIĞI"
"RulesInnerVaccineCert","REGULATION DOCUMENT","YÖNETMELIK"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","ÇOCUK FELCI AŞISI HER GIRINDEN ISTENMEKTEDIR"
"RulesInnerVaccineCert","NO EXCEPTIONS","ISTISNA YOKTUR"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PASAPORT MÜSADERESİ"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","PASAPORTU ILGILI ÇEKMECEYE KOYUN"
"RulesInnerConfiscation","POLICY","POLİTİKA"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","GÖZALTINA ALINMADAN ÖNCE PASAPORTA EL KOYULMALIDIR"
"RulesInnerConfiscation","MOI","H.A.B."
"RulesInnerLast","PROPERTY OF","DIŞİŞLERİ BAK."
"RulesInnerLast","M.O.A.","MALIDIR"
"RulesInnerLast","GLORY TO ARSTOTZKA","YAŞASIN ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Arstotzka"
"RulesInnerLast","Ministry of Admission","Dışişleri Bakanlığı"
"RulesInnerLast","Rules &amp; Regulations","Memurlar için"
"RulesInnerLast","for Inspectors","Kurallar &amp; Tüzük"
"RulesInnerLast","1982-1983 Edition","1982-1983 Yayımı"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","PAYLAŞMAK YASAKTIR<br>VE CEZAI YAPTIRIMI OLUR"
"RulesTabConfL","CONF.","EL KOY."
"RulesTabConfR","CONF.","EL KOY."
"RulesTabDocsL","DOCS","BELGE"
"RulesTabDocsR","DOCS","BELGE"
"RulesTabMapL","MAP","HARİTA"
"RulesTabMapR","MAP","HARİTA"
"RulesTabRulesL","RULES","KURAL"
"RulesTabRulesR","RULES","KURAL"
"RulesUpgrade0","TOGGLE INSPECT","INCELEME MODU AÇ"
"RulesUpgrade0","SPACE","BOŞLUK"
"RulesUpgrade1","TOGGLE STAMP BAR","KAŞE BARINI AÇ"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","KURAL KITABI KESTIRMELERI"
"RulesUpgrade3","QUICK INSPECT","HIZLI INCELEME"
"RulesUpgrade3","DOUBLE-CLICK","ÇIFT TIKLA"
"RulesUpgrade4","MULTITOUCH","ÇOKLU DOKUNMA"
"SeizureSlipInner","Arstotzka Ministry of Admission","Arstotzka Dışişleri Bakanlığı"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","PASAPORT MÜSADERE FIŞI"
"SeizureSlipInner","ENTRY VISA","GİRİŞ VİZESİ"
"SeizureSlipInner","Your passport has been seized.","Pasaportunuza el koyuldu."
"SeizureSlipInner","Contact 1509-6103 for redress.","Bu numarayı arayın: 1509-6103"
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Kolechia Karabatağının Çiftleşme Alışkanlıkları"
"SpyDocsInnerBack","A FULL REPORT","AYRINTILI RAPOR"
"SpyDocsInnerBack","Ministry of Information","HABER ALMA BAKANLIĞI"
"TranscriptInner","AUDIO TRANSCRIPT","KONUŞMA GEÇMIŞI"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Aşı<span>-</span>Kartı"
"VaccineCertInner","ID#","Kimlik No"
"VaccineCertInner","DATE","TARIH"
"VaccineCertInner","VACCINE","AŞI"
"VaccineCertInner","Vax valid for 3 years","Aşı 3 yıl geçerlidir"
"VisaSlipInner","TEMPORARY VISA SLIP","GEÇICI VIZE FIŞI"
"VisaSlipInner","ENTRY VISA","GİRİŞ VİZESİ"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","SADECE RET DURUMLARINDA KULLANILIR"
"WorkPermitInner","Ministry of Labor","Çalışma Bakanlığı"
"WorkPermitInner","Work Pass","Çalışma Vizesi"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Bu belge hamilin belirtilen alanda geçici bir süre çalışma hakkı verir."
"WorkPermitInner","HOLDER","ISIM"
"WorkPermitInner","FIELD","ALAN"
"WorkPermitInner","UNTIL","S.G.T."
"WorkPermitInner","Keep this pass with you at all times.","Bu belgeyi her zaman yanınızda taşıyın"
"EndNews","Kolechian Consensus Reached Over Grestin","Kolechia Mütabakatı Grestin'de Buluştu"
"ApartmentClass","CLASS","SINIF"
"DetainButton","DETAIN","GÖZALTI"
"FingerprintButton","FINGERPRINT","PARMAK IZI"
"SearchButton","SEARCH","TARA"
"EmblemsMOA","M.O.A","D.B."
"EmblemsMOA","M.O.L","Ç.B."
"EmblemsMOL","M.O.L","D.B."
"Filer","CONFISCATED DOCUMENTS","MÜSADERE ALTINDAKI BELGELER"
"Filer","PROPERTY OF","DIŞİŞLERİ BAK."
"Filer","M.O.A.","AITTIR"
"GiveIcon","GIVE","VER"
"LoadButtonNew","NEW","YENI"
"LoadDay","DAY","GÜN"
"LoadDrag","DRAG TO SCROLL","GEÇMEK IÇIN SÜRÜKLE"
"News","The Truth of Arstotzka","Arstotzka'nın Gerçekleri"
"News","No Charge","Ücretsizdir"
"ReasonButton","REASON","SEBEP"
"RifleKill","KILL","ÖLDÜR"
"RifleTranq","TRANQ","BAYILT"
"StampBarMid","ALIGN VISA BENEATH STAMP","VIZEYI KAŞEYE HIZALAYIN"
"Upgrades","SPACE","Boşluk"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","https://i.imgur.com/EkRDmGF.png"
"ArskickersInner","HANG ON WALL","DUVARA ASILABILIR"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","https://i.imgur.com/FwrMlpJ.png"
"BrothelFlyerInner","East Grestin","Doğu Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","FANTEZILERINIZ<br>GERÇEK OLSUN"
"image:PezpertInner.png","capture/PezpertInner.png","https://i.imgur.com/Q1s1wxB.png"
"PezpertInner","STAMP HERE","KASE BAS"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","https://i.imgur.com/yZRFG8f.png"
"SonDrawingInner","hanG on wAll","duVarA aS"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","https://i.imgur.com/7EylGCY.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","https://i.imgur.com/CeocmUC.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","https://i.imgur.com/a00fKIj.png"
"image:Emotions.png","export/Emotions.png","https://i.imgur.com/tiM6yhB.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","https://i.imgur.com/3YS9Fdj.png"
"image:InkApproved.png","export/InkApproved.png","https://i.imgur.com/CfXXp3t.png"
"image:InkDenied.png","export/InkDenied.png","https://i.imgur.com/wnhPOKD.png"
"image:StampBotApproved.png","export/StampBotApproved.png","https://i.imgur.com/tX5Ji7V.png"
"image:StampBotDenied.png","export/StampBotDenied.png","https://i.imgur.com/bJ18PNH.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","https://i.imgur.com/7rZzee9.png"
"image:InkReason.png","export/InkReason.png","https://i.imgur.com/WqMBRNw.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","https://i.imgur.com/iIxgM7y.png"
"image:Obrinspector.png","export/Obrinspector.png","https://i.imgur.com/CGOQzYE.png"
"image:Shutter.png","export/Shutter.png","https://i.imgur.com/D1mzjID.png"
"news:RANDOM_WEATHER","The Weather","Hava Durumu"
